"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region","Treatment"
"1",146,13.63771466,14,14,7.755469569,13.94248502,6.351829773,13.37525364,58,146,14,12,13,0.819012919,0.959316336,14.19278268,0.544132577,1.076923077,1,0.857142857,8.436759923,6.132859373,4.638002508,4093.999998,739.0000021,24.47131252,0.221843003,1,79.41168465,1663.766667,80.2,"R1","NoTPO"
"2",153,13.96081869,14,14,9.11372978,14.25720862,8.804256641,13.66863332,58,153,14,12,13,0.966043196,0.958717354,16.96955037,0.454717486,1.076923077,1,0.857142857,2.132317051,1.350376096,3.993666087,8703.999999,576.9999986,31.07760272,0.210425938,1,82.7251486,4192.009615,230.4663462,"R1","NoTPO"
"3",159,14.23192786,14,14,10.31403584,14.612704,8.358925648,13.88705422,58,159,14,12,13,0.810441788,0.950341171,16.62937947,0.510817252,1.076923077,1,0.857142857,5.904992391,4.301077188,3.317904724,5127.999898,482.9999986,27.12339305,0.18067505,1,67.83388839,2414.555556,137.0138889,"R1","NoTPO"
"4",141,13.40215783,14,14,7.180095462,13.91752619,6.376799381,12.90648286,58,141,14,12,13,0.88812181,0.927354667,13.9444261,0.544836521,1.076923077,1,0.857142857,6.982515988,1.810501642,3.126423307,6094,441,14.08778942,0.184337349,1,72.0268569,1270.958333,941.8489583,"R2","NoTPO"
"5",129,12.81917354,13,13,7.463549758,13.04438297,6.897356941,12.60209367,54,129,12,12,12,0.924138937,0.966093505,15.15950775,0.51455802,1.083333333,1,0.923076923,2.064287971,2.660213919,4.279511297,3102.999997,344.999999,16.79772327,0.157266092,1,60.10752139,2323.64,155.235,"R1","NoTPO"
"6",152,13.91512031,14,14,9.745390867,14.35632005,8.641397651,13.51965665,58,152,14,12,13,0.886716374,0.941721597,13.94088441,0.529283153,1.076923077,1,0.857142857,8.350622273,5.820119139,1.08048469,3424.999968,321.0000002,13.75253321,0.133783784,1,47.40239964,2764.044643,1071.290179,"R2","NoTPO"
"7",130,12.86876434,13,13,9.072258922,13.58838378,7.605418406,12.18456067,56,130,14,12,13,0.838315845,0.896689471,12.20523174,0.47669141,1,4,0.923076923,10.0086775,2.320149471,5.073229765,2418.000014,272.0000014,10.01861067,0.106995885,1,39.16682949,2984.009709,47.625,"R1","NoTPO"
"8",211,16.39481043,16,16,13.37652305,16.92370587,12.98235366,15.90815273,66,211,16,14,15,0.970532747,0.939992272,18.90079418,0.449409308,1.066666667,1,0.875,2.693436014,4.393055155,4.70400097,11320.99991,709.9999609,20.90683032,0.154707044,1,55.81064749,10839.39286,1335.5625,"R4","NoTPO"
"9",175,14.93083843,15,15,12.09774645,15.35212927,10.08774399,14.78351303,62,175,14,12,14,0.83385315,0.962961735,10.72822366,0.583289659,1.071428571,4,0.8,10.89308594,11.37880554,9.869468919,4764,493,7.838269476,0.084028223,1,31.02751906,4962.65625,2973.8125,"R3+TPO","TPO"
"10",160,14.2766122,18,18,15.24016648,19.01772973,8.160127042,10.96017021,65,160,12,10,11,0.535435558,0.576313281,4.394193273,0.50312227,1.636363636,2,0.555555556,46.09397326,4.203338814,5.007160885,7244,703,18.94304536,0.142295082,1,52.49669298,3676.592593,739.7777778,"R1","NoTPO"
"11",160,14.2766122,15,15,10.04332132,15.54118414,8.480326086,13.10158752,60,160,14,12,13,0.844374666,0.843023762,11.5948522,0.518368664,1.153846154,1,0.8,10.46307796,6.977467857,4.231465763,5729.000014,522.0000095,16.1119181,0.159456119,1,54.92220884,7475.433036,2847.575893,"R4+TPO","TPO"
"12",130,12.86876434,14,14,8.789404478,13.60118938,5.918354464,12.16540162,56,130,14,12,12,0.673351019,0.894436603,12.01225972,0.484897292,1.166666667,2,0.857142857,20.05142707,1.04873271,2.674851518,3759.999994,337.9999983,22.50635158,0.175622543,1,56.16266738,1355.851852,1296.759259,"R2+TPO","TPO"
"13",188,15.47547886,15,15,12.81781292,15.83985465,11.25991978,15.12529086,64,188,16,14,15,0.87845874,0.954888236,17.30702624,0.402961818,1,1,0.933333333,6.661389243,2.515536155,3.308642638,4322.999987,8004.99996,24.8061497,0.194444444,1,68.83757232,4339.548387,340.5806452,"R1","NoTPO"
"14",142,13.44959924,13,13,6.853927609,13.56281764,6.401322164,13.359212,56,142,14,12,13,0.933964076,0.984987954,14.8835646,0.480294729,1,1,0.923076923,3.218323387,6.305631037,2.109743462,7675,579.0000038,35.84953679,0.300115875,1,113.2285171,6220.958333,285.9083333,"R4","NoTPO"
"15",125,12.61886163,13,13,7.346930632,13.10080909,6.569333275,12.17234773,54,125,12,10,12,0.894160242,0.929129464,12.39795364,0.568259508,1.083333333,1,0.769230769,5.798180731,5.117021664,1.868220218,2990,381.000001,15.96610813,0.159244265,1,60.49973223,1248.051724,57.72844828,"R1","NoTPO"
"16",135,13.11390568,13,13,8.258840974,13.27849541,6.541799185,12.94541124,56,135,14,12,13,0.792096519,0.974915518,14.44390162,0.505047733,1,3,0.923076923,9.175957609,8.786965434,0.682975359,4769.999999,330.0000007,11.51795528,0.12265861,1,49.97449336,1694.28,2593.08,"R2","NoTPO"
"17",134,13.06524538,13,13,7.972250507,13.47058044,6.685733795,12.65940555,56,134,14,12,13,0.838625654,0.939781742,14.0436061,0.501142937,1,1,0.923076923,9.245217523,5.707034819,3.903072817,3408.999998,337.0000017,20.92391156,0.174881837,1,67.84334433,1349.181034,77.56896552,"R1","NoTPO"
"18",222,16.81673416,17,17,12.94410233,17.21877464,11.10549414,16.44413782,70,222,16,14,16,0.857957845,0.955012082,18.08085837,0.503560374,1.0625,1,0.823529412,6.293924534,5.611516687,2.925872607,8575.000001,1691.000004,25.95381285,0.196141479,1,71.75911275,4028.153226,3056.209677,"R2","NoTPO"
