"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region","Treatment"
"1",165,14.49796823,14,14,10.69508479,14.70601159,10.22281224,14.30139821,60,165,14,12,14,0.955842094,0.972486532,16.50146223,0.435618508,1,1,0.857142857,2.260278802,2.562475341,3.598719724,5090.999995,3249.999992,17.04944214,0.16025641,1,57.07245858,2003.725962,176.5288462,"R1","NoTPO"
"2",161,14.32115713,15,15,6.890426251,15.2321583,4.920841564,13.67672621,64,161,14,12,14,0.714156336,0.897884984,8.911644574,0.45919566,1.071428571,4,0.8,16.55847432,6.084233367,8.683244292,5414.000001,240.0000005,14.49945178,0.176203966,1,62.92462315,3788.882576,5413.382576,"R3","NoTPO"
"3",168,14.62917424,15,15,8.916720521,14.77138512,7.653018179,14.47967738,62,168,14,12,14,0.858277229,0.980251836,17.37445723,0.518166554,1.071428571,1,0.8,5.675616959,2.559278617,1.585507346,5759.000037,531.9999981,30.02895297,0.214723926,1,83.51222444,1639,70.55555556,"R1","NoTPO"
"4",151,13.86927135,14,14,10.82296373,15.00225825,9.071673832,12.87614477,56,151,12,12,12,0.838187585,0.858280437,12.07747165,0.532151244,1.166666667,1,0.857142857,10.50758461,5.069569527,3.487109829,3660,466,16.25498755,0.144772118,1,51.78091616,3357.033333,150.4875,"R1","NoTPO"
"5",138,13.25881512,13,13,7.408396143,13.44365155,6.899381472,13.05596872,56,138,14,12,13,0.93129219,0.971162386,16.00792044,0.503278075,1,1,0.923076923,5.824841828,1.977944635,1.524376001,7129.000005,220.9999976,23.20844794,0.242682927,1,91.48899778,1196.928571,127.5892857,"R1","NoTPO"
"6",132,12.967377,13,13,11.08604553,14.10839229,5.945208945,12.11155327,54,132,12,10,12,0.536278597,0.858464453,8.775354845,0.303372071,1.083333333,4,0.769230769,21.71469071,23.7115716,19.16213024,7860,231,50.21561132,0.230024213,1,98.58074469,2446.143519,4429.486111,"R2","NoTPO"
"7",159,14.23192786,14,14,9.742345375,14.86993988,9.036204167,13.64877377,58,159,14,10,13,0.927518356,0.917876863,14.83564491,0.486439279,1.076923077,1,0.714285714,2.967224082,5.803924168,3.837023482,7912.999986,643.0000038,27.43649089,0.212121212,1,70.59214587,4151.333333,850.625,"R4","NoTPO"
"8",186,15.39294238,15,15,10.22855925,15.55740889,9.709850558,15.22981855,64,186,16,14,15,0.949288196,0.97894313,18.01175046,0.500097079,1,1,0.933333333,2.688986848,1.142490008,1.624058195,8739.000052,5742.000067,24.28586605,0.236409608,1,93.05320136,2621.7,296.6625,"R1","NoTPO"
"9",142,13.44959924,13,13,7.329193701,13.52881827,6.692023265,13.34185137,56,142,14,12,13,0.913064048,0.986180101,17.57110646,0.479004718,1,1,0.923076923,3.686686371,5.624031819,2.276347332,4167.000034,248.9999995,23.89064773,0.221838286,1,75.36283588,2068.025,80.375,"R1","NoTPO"
"10",135,13.11390568,13,13,9.073859071,13.99813323,6.292702816,12.38466362,54,135,12,10,12,0.693497967,0.884736801,10.66333972,0.467070529,1.083333333,4,0.769230769,19.68516955,7.250451057,7.961245107,3585.999945,622.9999936,20.93072252,0.172413793,1,60.71094843,1764.8,244.85,"R1","NoTPO"
"11",145,13.59092991,14,14,9.366528928,14.38573349,9.160187063,12.81900042,58,145,14,12,13,0.977970295,0.891091193,13.09507474,0.451035849,1.076923077,1,0.857142857,5.855776386,4.196530499,0.418643916,6452.999999,474.9999857,25.2343152,0.177993528,1,61.53288652,3316.111111,536.4027778,"R1","NoTPO"
"12",137,13.21068859,13,13,7.980561434,13.50599905,7.448991615,12.90072624,56,137,14,12,13,0.933391927,0.955184892,15.19981346,0.482372244,1,1,0.923076923,4.045515106,3.803741978,2.466083764,6420.999969,372.9999924,26.84267249,0.228855721,1,79.54016843,1210.138393,80.84821429,"R1","NoTPO"
"13",138,13.25881512,13,13,9.138298163,13.45949649,7.965362056,13.05872334,58,138,14,12,13,0.871646111,0.970223764,14.56741883,0.527288069,1,4,0.923076923,5.572352331,4.182231877,9.028552216,3275.999977,290.9999998,15.625673,0.121482498,1,49.81561096,6802.678571,378.9642857,"R4","NoTPO"
